id	gr1	tax	taxprio	gr2	prioritaire
4	Oiseaux	Aix galericulata	Aix galericulata	Anatidae	0
5	Oiseaux	Alopochen aegyptiaca	Alopochen aegyptiacus	Anatidae	0
7	Poissons	Ameiurus melas	Ameiurus melas	Ictaluridae	0
9	Oiseaux	Anser indicus	Anser indicus	Anatidae	0
10	Crustacés	Astacus leptodactylus	Astacus leptodactylus	Astacidae	0
21	Oiseaux	Branta canadensis	Branta canadensis	Anatidae	0
23	Poissons	Carassius gibelio	Carassius gibelio	Cyprinidae	0
45	Oiseaux	Cygnus atratus	Cygnus atratus	Anatidae	0
47	Mammifères	Dama dama	Dama dama	Cervidae	0
48	Mollusques bivalves	Dreissena polymorpha	Dreissena polymorpha	Dreissenidae	0
49	Mollusques bivalves	Dreissena rostriformis bugensis	Dreissena rostriformis bugensis	Dreissenidae	0
57	Crustacés	Eriocheir sinensis	Eriocheir sinensis	Varunidae	1
63	Coccinelles	Harmonia axyridis	Harmonia axyridis	Coccinellinae	0
76	Poissons	Lepomis gibbosus	Lepomis gibbosus	Centrarchidae	0
77	Amphibiens	Lithobates catesbeianus	Lithobates catesbeianus	Ranidae	1
84	Poissons	Micropterus dolomieu	Micropterus dolomieu	Centrarchidae	0
86	Mammifères	Muntiacus reevesi	Muntiacus reevesi	Cervidae	1
89	Mammifères	Myocastor coypus	Myocastor coypus	Myocastoridae	1
92	Poissons	Neogobius melanostomus	Neogobius melanostomus	Gobiidae	0
93	Poissons	Gobie indéterminé	Neogobius sp.	Gobiidae	0
94	Mammifères	Nyctereutes procyonoides	Nyctereutes procyonoides	Canidae	0
99	Mammifères	Ondatra zibethicus	Ondatra zibethicus	Microtidae	0
100	Crustacés	Orconectes limosus	Orconectes limosus	Astacidae	1
102	Oiseaux	Oxyura jamaicensis	Oxyura jamaicensis	Anatidae	1
103	Crustacés	Pacifastacus leniusculus	Pacifastacus leniusculus	Astacidae	1
109	Poissons	Pimephales promelas	Pimephales promelas	Cyprinidae	0
112	Mollusques gastérop.	Potamopyrgus antipodarum	Potamopyrgus antipodarum	Hydrobiidae	0
115	Crustacés	Procambarus clarkii	Procambarus clarkii	Cambaridae	1
116	Mammifères	Procyon lotor	Procyon lotor	Procyonidae	1
119	Poissons	Pseudorasbora parva	Pseudorasbora parva	Cyprinidae	1
120	Oiseaux	Psittacula krameri	Psittacula krameri	Psittacidae	0
122	Amphibiens	Pelophylax ridibundus	Rana ridibunda	Ranidae	0
123	Mammifères	Rattus norvegicus	Rattus norvegicus	Muridae	0
130	Poissons	Sander lucioperca	Sander lucioperca	Percidae	0
133	Mammifères	Sciurus carolinensis	Sciurus carolinensis	Sciuridae	1
134	Mammifères	Sciurus niger	Sciurus niger	Sciuridae	1
145	Mammifères	Tamias sibiricus	Tamias sibiricus	Sciuridae	1
146	Oiseaux	Threskiornis aethiopicus	Threskiornis aethiopicus	Threskiornithidae	1
147	Tortues	Trachemys scripta	Trachemys scripta	Emydidae	1
148	Poissons	Umbra pygmaea	Umbra pygmaea	Umbridae	0
150	Hyménoptères	Vespa velutina	Vespa velutina	Vespidae	1
161		Callosciurus finlaysonii	Callosciurus finlaysonii		0
165		Cervus nippon	Cervus nippon		0
