tax	taxprio	taxprio_orig	taxo_id	patrimonial	invasif	Ordre	Family
Aceria macrorhyncha	Aceria macrorhyncha	Aceria macrorhyncha	32898	0	0	Acariens	Eriophyidae
Phytomyza ranunculi	Phytomyza ranunculi	Phytomyza ranunculi	102600	0	0	Diptères	Agromyzidae
Gnorimus nobilis	Gnorimus nobilis	Gnorimus nobilis	34779	1	0	Coléoptères	Cetoniidae
Chrysolina americana	Chrysolina americana	Chrysolina americana	35383	0	0	Coléoptères	Chrysomelidae
Cheilosia illustrata	Cheilosia illustrata	Cheilosia illustrata	10274	0	0	Diptères	Syrphidae
Silpha tristis	Silpha tristis	Silpha tristis	103112	0	0	Coléoptères	Silphidae
Chorthippus mollis	Chorthippus mollis	Chorthippus mollis	10047	1	0	Orthoptères	Acrididae
Decticelle bariolée	Metrioptera roeselii	Metrioptera roeselii	10002	0	0	Orthoptères	Tettigoniidae
Harmandiola tremulae	Harmandiola tremulae	Harmandiola tremulae	33529	0	0	Diptères	Cecidomyiidae
sympetrum striolatum	Sympetrum striolatum	Sympetrum striolatum	6355	0	0	Libellules	Libellulidae
sympetrum sanguineum	Sympetrum sanguineum	Sympetrum sanguineum	6354	0	0	Libellules	Libellulidae
Agonum sexpunctatum	Agonum sexpunctatum	Agonum sexpunctatum	29853	0	0	Coléoptères	Carabidae
Donacia aquatica	Donacia aquatica	Donacia aquatica	34854	0	0	Coléoptères	Chrysomelidae
Donacia sp.	Donacia 	Donacia sp.	34838	0	0	Coléoptères	Chrysomelidae
Elaphrus uliginosus	Elaphrus uliginosus	Elaphrus uliginosus	28021	0	0	Coléoptères	Carabidae
Bourdon sp.	Bombus 	Bombus sp.	3105	0	0	Hyménoptères	Apidae
Colletes sp.	Colletes 	Colletes sp.	3065	0	0	Hyménoptères	Colletidae
Rat d'égoût	Rattus norvegicus	Rattus norvegicus	12883	0	1	Mammifères	Muridae
brenthis ino	Brenthis ino	Brenthis ino	10105	0	0	Papillons	Nymphalidae
