tax	taxprio	taxprio_orig	taxo_id	patrimonial	invasif	Ordre	Family
AESHNA GRANDIS	Aeshna grandis	Aeshna grandis	6326	0	0	Libellules	Aeshnidae
PLATYCNEMIS PENNIPES	Platycnemis pennipes	Platycnemis pennipes	6303	0	0	Libellules	Platycnemididae
CALOPTERYX SPLENDENS	Calopteryx splendens	Calopteryx splendens	6295	0	0	Libellules	Calopterygidae
Calopteryx virgo	Calopteryx virgo	Calopteryx virgo	6296	0	0	Libellules	Calopterygidae
Pyrrhosoma nymphula	Pyrrhosoma nymphula	Pyrrhosoma nymphula	6306	0	0	Libellules	Coenagrionidae
Coenagrion puella	Coenagrion puella	Coenagrion puella	6311	0	0	Libellules	Coenagrionidae
Libellula depressa	Libellula depressa	Libellula depressa	6341	0	0	Libellules	Libellulidae
Aeshna juncea	Aeshna juncea	Aeshna juncea	6328	1	0	Libellules	Aeshnidae
Cordulegaster boltonii	Cordulegaster boltonii	Cordulegaster boltonii	6334	1	0	Libellules	Cordulegasteridae
sympetrum danae	Sympetrum danae	Sympetrum danae	6348	0	0	Libellules	Libellulidae
cordulegaster boltonii	Cordulegaster boltonii	Cordulegaster boltonii	6334	1	0	Libellules	Cordulegasteridae
Enallagma cyathigerum	Enallagma cyathigerum	Enallagma cyathigerum	6307	0	0	Libellules	Coenagrionidae
Calopteryx splendens	Calopteryx splendens	Calopteryx splendens	6295	0	0	Libellules	Calopterygidae
coenagrion puella	Coenagrion puella	Coenagrion puella	6311	0	0	Libellules	Coenagrionidae
pyrrhosoma nymphula	Pyrrhosoma nymphula	Pyrrhosoma nymphula	6306	0	0	Libellules	Coenagrionidae
libellula depressa	Libellula depressa	Libellula depressa	6341	0	0	Libellules	Libellulidae
aeshna cyanea	Aeshna cyanea	Aeshna cyanea	6325	0	0	Libellules	Aeshnidae
Aeshna grandis	Aeshna grandis	Aeshna grandis	6326	0	0	Libellules	Aeshnidae
Platycnemis pennipes	Platycnemis pennipes	Platycnemis pennipes	6303	0	0	Libellules	Platycnemididae
calopteryx splendens	Calopteryx splendens	Calopteryx splendens	6295	0	0	Libellules	Calopterygidae
Onychogomphus forcipatus	Onychogomphus forcipatus	Onychogomphus forcipatus	6321	1	0	Libellules	Gomphidae
ischnura elegans	Ischnura elegans	Ischnura elegans	6304	0	0	Libellules	Coenagrionidae
Aeshna cyanea	Aeshna cyanea	Aeshna cyanea	6325	0	0	Libellules	Aeshnidae
Anax imperator	Anax imperator	Anax imperator	6331	0	0	Libellules	Aeshnidae
Ischnura elegans	Ischnura elegans	Ischnura elegans	6304	0	0	Libellules	Coenagrionidae
Cordulegaster bidentata	Cordulegaster bidentata	Cordulegaster bidentata	6333	1	0	Libellules	Cordulegasteridae
Cordulia aenea	Cordulia aenea	Cordulia aenea	6335	0	0	Libellules	Corduliidae
Somatochlora metallica	Somatochlora metallica	Somatochlora metallica	6338	0	0	Libellules	Corduliidae
Orthetrum cancellatum	Orthetrum cancellatum	Orthetrum cancellatum	6345	0	0	Libellules	Libellulidae
Erythromma sp.	Erythromma 	Erythromma sp.	1611	0	0	Libellules	Coenagrionidae
Sympetrum striolatum	Sympetrum striolatum	Sympetrum striolatum	6355	0	0	Libellules	Libellulidae
Aeshna sp.	Aeshna 	Aeshna sp.	1601	0	0	Libellules	Aeshnidae
Lestes viridis	Lestes viridis	Lestes viridis	6302	0	0	Libellules	Lestidae
Gomphus vulgatissimus	Gomphus vulgatissimus	Gomphus vulgatissimus	6320	1	0	Libellules	Gomphidae
Ischnura sp.	Ischnura 	Ischnura sp.	1612	0	0	Libellules	Coenagrionidae
Coenagrion sp.	Coenagrion 	Coenagrion sp.	1609	0	0	Libellules	Coenagrionidae
Aeshna affinis	Aeshna affinis	Aeshna affinis	6324	1	0	Libellules	Aeshnidae
Gomphus pulchellus	Gomphus pulchellus	Gomphus pulchellus	6318	0	0	Libellules	Gomphidae
Somatochlora sp.	Somatochlora 	Somatochlora sp.	1618	0	0	Libellules	Corduliidae
Erythromma najas	Erythromma najas	Erythromma najas	6315	0	0	Libellules	Coenagrionidae
Libellula sp.	Libellula 	Libellula sp.	1625	0	0	Libellules	Libellulidae
Crocothemis erythraea	Crocothemis erythraea	Crocothemis erythraea	6347	0	0	Libellules	Libellulidae
Erythromma viridulum	Erythromma viridulum	Erythromma viridulum	6316	0	0	Libellules	Coenagrionidae
Leucorrhinia dubia	Leucorrhinia dubia	Leucorrhinia dubia	6358	1	0	Libellules	Libellulidae
Libellula quadrimaculata	Libellula quadrimaculata	Libellula quadrimaculata	6343	0	0	Libellules	Libellulidae
Orthetrum coerulescens	Orthetrum coerulescens	Orthetrum coerulescens	6346	1	0	Libellules	Libellulidae
Somatochlora arctica	Somatochlora arctica	Somatochlora arctica	6336	1	0	Libellules	Corduliidae
Sympetrum vulgatum	Sympetrum vulgatum	Sympetrum vulgatum	6356	0	0	Libellules	Libellulidae
Lestes sponsa	Lestes sponsa	Lestes sponsa	6300	0	0	Libellules	Lestidae
Sympetrum danae	Sympetrum danae	Sympetrum danae	6348	0	0	Libellules	Libellulidae
Sympetrum sanguineum	Sympetrum sanguineum	Sympetrum sanguineum	6354	0	0	Libellules	Libellulidae
Sympetrum flaveolum	Sympetrum flaveolum	Sympetrum flaveolum	6350	1	0	Libellules	Libellulidae
Aeshna mixta	Aeshna mixta	Aeshna mixta	6329	0	0	Libellules	Aeshnidae
Lestes dryas	Lestes dryas	Lestes dryas	6299	1	0	Libellules	Lestidae
CERCION LINDENI	Erythromma lindenii	Erythromma lindenii	6314	0	0	Libellules	Coenagrionidae
Lestes virens	Lestes virens	Lestes virens	6301	1	0	Libellules	Lestidae
Sympetrum sp.	Sympetrum 	Sympetrum sp.	1627	0	0	Libellules	Libellulidae
Anax parthenope	Anax parthenope	Anax parthenope	6332	1	0	Libellules	Aeshnidae
Lestes sp.	Lestes 	Lestes sp.	1621	0	0	Libellules	Lestidae
ISCHNURA ELEGANS	Ischnura elegans	Ischnura elegans	6304	0	0	Libellules	Coenagrionidae
CALOPTERYX VIRGO	Calopteryx virgo	Calopteryx virgo	6296	0	0	Libellules	Calopterygidae
COENAGRION PUELLA	Coenagrion puella	Coenagrion puella	6311	0	0	Libellules	Coenagrionidae
PYRRHOSOMA NYMPHULA	Pyrrhosoma nymphula	Pyrrhosoma nymphula	6306	0	0	Libellules	Coenagrionidae
ANAX IMPERATOR	Anax imperator	Anax imperator	6331	0	0	Libellules	Aeshnidae
AESHNA CYANEA	Aeshna cyanea	Aeshna cyanea	6325	0	0	Libellules	Aeshnidae
SYMPETRUM STRIOLATUM	Sympetrum striolatum	Sympetrum striolatum	6355	0	0	Libellules	Libellulidae
Aeshna isoceles	Aeshna isoceles	Aeshna isoceles	6327	1	0	Libellules	Aeshnidae
Brachytron pratense	Brachytron pratense	Brachytron pratense	6323	1	0	Libellules	Aeshnidae
Coenagrion pulchellum	Coenagrion pulchellum	Coenagrion pulchellum	6312	1	0	Libellules	Coenagrionidae
Libellula fulva	Libellula fulva	Libellula fulva	6342	1	0	Libellules	Libellulidae
COENAGRION PULCHELLUM	Coenagrion pulchellum	Coenagrion pulchellum	6312	1	0	Libellules	Coenagrionidae
CORDULIA AENEA	Cordulia aenea	Cordulia aenea	6335	0	0	Libellules	Corduliidae
ORTHETRUM CANCELLATUM	Orthetrum cancellatum	Orthetrum cancellatum	6345	0	0	Libellules	Libellulidae
ERYTHROMMA NAJAS	Erythromma najas	Erythromma najas	6315	0	0	Libellules	Coenagrionidae
AESHNA MIXTA	Aeshna mixta	Aeshna mixta	6329	0	0	Libellules	Aeshnidae
LESTES VIRIDIS	Lestes viridis	Lestes viridis	6302	0	0	Libellules	Lestidae
ENALLAGMA CYATHIGERUM	Enallagma cyathigerum	Enallagma cyathigerum	6307	0	0	Libellules	Coenagrionidae
SYMPETRUM SANGUINEUM	Sympetrum sanguineum	Sympetrum sanguineum	6354	0	0	Libellules	Libellulidae
ORTHETRUM COERULESCENS	Orthetrum coerulescens	Orthetrum coerulescens	6346	1	0	Libellules	Libellulidae
SOMATOCHLORA METALLICA	Somatochlora metallica	Somatochlora metallica	6338	0	0	Libellules	Corduliidae
SYMPETRUM SP.	Sympetrum 	Sympetrum sp.	1627	0	0	Libellules	Libellulidae
LIBELLULA FULVA	Libellula fulva	Libellula fulva	6342	1	0	Libellules	Libellulidae
Lestes barbarus	Lestes barbarus	Lestes barbarus	6298	1	0	Libellules	Lestidae
Sympetrum fonscolombii	Sympetrum fonscolombii	Sympetrum fonscolombii	6351	0	0	Libellules	Libellulidae
LIBELLULA DEPRESSA	Libellula depressa	Libellula depressa	6341	0	0	Libellules	Libellulidae
LIBELLULA QUADRIMACULATA	Libellula quadrimaculata	Libellula quadrimaculata	6343	0	0	Libellules	Libellulidae
ERYTHROMMA VIRIDULUM	Erythromma viridulum	Erythromma viridulum	6316	0	0	Libellules	Coenagrionidae
LESTES SPONSA	Lestes sponsa	Lestes sponsa	6300	0	0	Libellules	Lestidae
GOMPHUS PULCHELLUS	Gomphus pulchellus	Gomphus pulchellus	6318	0	0	Libellules	Gomphidae
SYMPETRUM VULGATUM	Sympetrum vulgatum	Sympetrum vulgatum	6356	0	0	Libellules	Libellulidae
CROCOTHEMIS ERYTHRAEA	Crocothemis erythraea	Crocothemis erythraea	6347	0	0	Libellules	Libellulidae
SYMPETRUM DANAE	Sympetrum danae	Sympetrum danae	6348	0	0	Libellules	Libellulidae
Oxygastra curtisii	Oxygastra curtisii	Oxygastra curtisii	6340	1	0	Libellules	Corduliidae
BRACHYTRON PRATENSE	Brachytron pratense	Brachytron pratense	6323	1	0	Libellules	Aeshnidae
CALOPTERYX SP.	Calopteryx 	Calopteryx sp.	1606	0	0	Libellules	Calopterygidae
Ischnura pumilio	Ischnura pumilio	Ischnura pumilio	6305	1	0	Libellules	Coenagrionidae
Epitheca bimaculata	Epitheca bimaculata	Epitheca bimaculata	6339	1	0	Libellules	Corduliidae
EPITHECA BIMACULATA	Epitheca bimaculata	Epitheca bimaculata	6339	1	0	Libellules	Corduliidae
ANAX PARTHENOPE	Anax parthenope	Anax parthenope	6332	1	0	Libellules	Aeshnidae
SOMATOCHLORA FLAVOMACULATA	Somatochlora flavomaculata	Somatochlora flavomaculata	6337	1	0	Libellules	Corduliidae
LEUCORRHINIA DUBIA	Leucorrhinia dubia	Leucorrhinia dubia	6358	1	0	Libellules	Libellulidae
SYMPETRUM FLAVEOLUM	Sympetrum flaveolum	Sympetrum flaveolum	6350	1	0	Libellules	Libellulidae
Somatochlora flavomaculata	Somatochlora flavomaculata	Somatochlora flavomaculata	6337	1	0	Libellules	Corduliidae
Cordulia sp.	Cordulia 	Cordulia sp.	1615	0	0	Libellules	Corduliidae
Calopteryx sp.	Calopteryx 	Calopteryx sp.	1606	0	0	Libellules	Calopterygidae
Orthetrum brunneum	Orthetrum brunneum	Orthetrum brunneum	6344	1	0	Libellules	Libellulidae
Coenagrion mercuriale	Coenagrion mercuriale	Coenagrion mercuriale	6310	1	0	Libellules	Coenagrionidae
SYMPECMA SP.	Sympecma 	Sympecma sp.	1622	0	0	Libellules	Lestidae
Leucorrhinia rubicunda	Leucorrhinia rubicunda	Leucorrhinia rubicunda	6360	1	0	Libellules	Libellulidae
Aeshna subarctica	Aeshna subarctica	Aeshna subarctica	6330	0	0	Libellules	Aeshnidae
CORDULEGASTER BOLTONII	Cordulegaster boltonii	Cordulegaster boltonii	6334	1	0	Libellules	Cordulegasteridae
AESHNA JUNCEA	Aeshna juncea	Aeshna juncea	6328	1	0	Libellules	Aeshnidae
Coenagrion hastulatum	Coenagrion hastulatum	Coenagrion hastulatum	6308	1	0	Libellules	Coenagrionidae
COENAGRION HASTULATUM	Coenagrion hastulatum	Coenagrion hastulatum	6308	1	0	Libellules	Coenagrionidae
SOMATOCHLORA ARCTICA	Somatochlora arctica	Somatochlora arctica	6336	1	0	Libellules	Corduliidae
ISCHNURA PUMILIO	Ischnura pumilio	Ischnura pumilio	6305	1	0	Libellules	Coenagrionidae
AESHNA SUBARCTICA	Aeshna subarctica	Aeshna subarctica	6330	0	0	Libellules	Aeshnidae
SYMPECMA FUSCA	Sympecma fusca	Sympecma fusca	6297	1	0	Libellules	Lestidae
LESTES BARBARUS	Lestes barbarus	Lestes barbarus	6298	1	0	Libellules	Lestidae
LEUCORRHINIA RUBICUNDA	Leucorrhinia rubicunda	Leucorrhinia rubicunda	6360	1	0	Libellules	Libellulidae
Sympecma fusca	Sympecma fusca	Sympecma fusca	6297	1	0	Libellules	Lestidae
Coenagrion lunulatum	Coenagrion lunulatum	Coenagrion lunulatum	6309	1	0	Libellules	Coenagrionidae
COENAGRION LUNULATUM	Coenagrion lunulatum	Coenagrion lunulatum	6309	1	0	Libellules	Coenagrionidae
AESHNA SP.	Aeshna 	Aeshna sp.	1601	0	0	Libellules	Aeshnidae
LESTES DRYAS	Lestes dryas	Lestes dryas	6299	1	0	Libellules	Lestidae
ORTHETRUM BRUNNEUM	Orthetrum brunneum	Orthetrum brunneum	6344	1	0	Libellules	Libellulidae
CORDULEGASTER BIDENTATA	Cordulegaster bidentata	Cordulegaster bidentata	6333	1	0	Libellules	Cordulegasteridae
ORTHETRUM SP.	Orthetrum 	Orthetrum sp.	1626	0	0	Libellules	Libellulidae
COENAGRION MERCURIALE	Coenagrion mercuriale	Coenagrion mercuriale	6310	1	0	Libellules	Coenagrionidae
ONYCHOGOMPHUS FORCIPATUS	Onychogomphus forcipatus	Onychogomphus forcipatus	6321	1	0	Libellules	Gomphidae
SYMPETRUM FONSCOLOMBII	Sympetrum fonscolombii	Sympetrum fonscolombii	6351	0	0	Libellules	Libellulidae
ERYTHROMMA SP.	Erythromma 	Erythromma sp.	1611	0	0	Libellules	Coenagrionidae
Gomphus sp.	Gomphus 	Gomphus sp.	1619	0	0	Libellules	Gomphidae
LESTES SP.	Lestes 	Lestes sp.	1621	0	0	Libellules	Lestidae
CERIAGRION TENELLUM	Ceriagrion tenellum	Ceriagrion tenellum	6317	1	0	Libellules	Coenagrionidae
Ceriagrion tenellum	Ceriagrion tenellum	Ceriagrion tenellum	6317	1	0	Libellules	Coenagrionidae
COENAGRION SCITULUM	Coenagrion scitulum	Coenagrion scitulum	6313	1	0	Libellules	Coenagrionidae
AESHNA AFFINIS	Aeshna affinis	Aeshna affinis	6324	1	0	Libellules	Aeshnidae
CORDULIA SP.	Cordulia 	Cordulia sp.	1615	0	0	Libellules	Corduliidae
SYMPETRUM PEDEMONTANUM	Sympetrum pedemontanum	Sympetrum pedemontanum	6353	1	0	Libellules	Libellulidae
Coenagrion scitulum	Coenagrion scitulum	Coenagrion scitulum	6313	1	0	Libellules	Coenagrionidae
Cordulegaster sp.	Cordulegaster 	Cordulegaster sp.	1614	0	0	Libellules	Cordulegasteridae
Sympetrum pedemontanum	Sympetrum pedemontanum	Sympetrum pedemontanum	6353	1	0	Libellules	Libellulidae
GOMPHUS VULGATISSIMUS	Gomphus vulgatissimus	Gomphus vulgatissimus	6320	1	0	Libellules	Gomphidae
Orthetrum sp.	Orthetrum 	Orthetrum sp.	1626	0	0	Libellules	Libellulidae
Sympetrum meridionale	Sympetrum meridionale	Sympetrum meridionale	6352	1	0	Libellules	Libellulidae
OXYGASTRA CURTISII	Oxygastra curtisii	Oxygastra curtisii	6340	1	0	Libellules	Corduliidae
CORDULEGASTER BIDENTATUS	Cordulegaster bidentata	Cordulegaster bidentata	6333	1	0	Libellules	Cordulegasteridae
Gomphus simillimus	Gomphus simillimus	Gomphus simillimus	6319	1	0	Libellules	Gomphidae
Anax sp.	Anax 	Anax sp.	1603	0	0	Libellules	Aeshnidae
Hemianax ephippiger	Hemianax ephippiger	Hemianax ephippiger	15287	0	0	Libellules	Aeshnidae
Leucorrhinia pectoralis	Leucorrhinia pectoralis	Leucorrhinia pectoralis	6359	1	0	Libellules	Libellulidae
CORDULEGASTER BOLTONI	Cordulegaster boltonii	Cordulegaster boltonii	6334	1	0	Libellules	Cordulegasteridae
Erythromma lindenii	Erythromma lindenii	Erythromma lindenii	6314	0	0	Libellules	Coenagrionidae
anax imperator	Anax imperator	Anax imperator	6331	0	0	Libellules	Aeshnidae
aeshna grandis	Aeshna grandis	Aeshna grandis	6326	0	0	Libellules	Aeshnidae
GOMPHUS SIMILLIMUS	Gomphus simillimus	Gomphus simillimus	6319	1	0	Libellules	Gomphidae
SYMPETRUM DEPRESSIUSCULUM	Sympetrum depressiusculum	Sympetrum depressiusculum	6349	0	0	Libellules	Libellulidae
ONYCHOGOMPHUS UNCATUS	Onychogomphus uncatus	Onychogomphus uncatus	6322	0	0	Libellules	Gomphidae
LEUCORRHINIA PECTORALIS	Leucorrhinia pectoralis	Leucorrhinia pectoralis	6359	1	0	Libellules	Libellulidae
LEUCORRHINIA CAUDALIS	Leucorrhinia caudalis	Leucorrhinia caudalis	6357	1	0	Libellules	Libellulidae
SYMPETRUM MERIDIONALE	Sympetrum meridionale	Sympetrum meridionale	6352	1	0	Libellules	Libellulidae
LESTES VIRENS	Lestes virens	Lestes virens	6301	1	0	Libellules	Lestidae
Polygonia c-album	Polygonia c-album	Polygonia c-album	10122	0	0	Papillons	Nymphalidae
Gonepteryx rhamni	Gonepteryx rhamni	Gonepteryx rhamni	10081	0	0	Papillons	Pieridae
Pieris rapae	Pieris rapae	Pieris rapae	10077	0	0	Papillons	Pieridae
Coenonympha pamphilus	Coenonympha pamphilus	Coenonympha pamphilus	10068	0	0	Papillons	Satyridae
Polyommatus icarus	Polyommatus icarus	Polyommatus icarus	10148	0	0	Papillons	Lycaenidae
Pyrgus malvae	Pyrgus malvae	Pyrgus malvae	10166	1	0	Papillons	Hesperiidae
Pieris napi	Pieris napi	Pieris napi	10076	0	0	Papillons	Pieridae
Pieris brassicae	Pieris brassicae	Pieris brassicae	10075	0	0	Papillons	Pieridae
Vanessa cardui	Vanessa cardui	Vanessa cardui	10109	0	0	Papillons	Nymphalidae
Lasiommata megera	Lasiommata megera	Lasiommata megera	10058	0	0	Papillons	Satyridae
Erebia medusa	Erebia medusa	Erebia medusa	10063	1	0	Papillons	Satyridae
Lycaena phlaeas	Lycaena phlaeas	Lycaena phlaeas	10137	0	0	Papillons	Lycaenidae
Leptidea sinapis	Leptidea sinapis	Leptidea sinapis	10079	0	0	Papillons	Pieridae
Vanessa atalanta	Vanessa atalanta	Vanessa atalanta	10108	0	0	Papillons	Nymphalidae
Anthocharis cardamines	Anthocharis cardamines	Anthocharis cardamines	10088	0	0	Papillons	Pieridae
Papilio machaon	Papilio machaon	Papilio machaon	10089	0	0	Papillons	Papilionidae
Aporia crataegi	Aporia crataegi	Aporia crataegi	10087	0	0	Papillons	Pieridae
Melitaea diamina	Melitaea diamina	Melitaea diamina	10117	0	0	Papillons	Nymphalidae
Boloria selene	Boloria selene	Boloria selene	10103	0	0	Papillons	Nymphalidae
Celastrina argiolus	Celastrina argiolus	Celastrina argiolus	10127	0	0	Papillons	Lycaenidae
Carterocephalus palaemon	Carterocephalus palaemon	Carterocephalus palaemon	10172	0	0	Papillons	Hesperiidae
Plebeius agestis	Plebeius agestis	Plebeius agestis	10140	0	0	Papillons	Lycaenidae
Ochlodes sylvanus	Ochlodes sylvanus	Ochlodes sylvanus	10168	0	0	Papillons	Hesperiidae
Euphydryas aurinia	Euphydryas aurinia	Euphydryas aurinia	10123	1	0	Papillons	Nymphalidae
Maniola jurtina	Maniola jurtina	Maniola jurtina	10056	0	0	Papillons	Satyridae
Satyrium pruni	Satyrium pruni	Satyrium pruni	10154	0	0	Papillons	Lycaenidae
Brenthis ino	Brenthis ino	Brenthis ino	10105	0	0	Papillons	Nymphalidae
Pararge aegeria	Pararge aegeria	Pararge aegeria	10054	0	0	Papillons	Satyridae
Coenonympha arcania	Coenonympha arcania	Coenonympha arcania	10064	1	0	Papillons	Satyridae
Aphantopus hyperantus	Aphantopus hyperantus	Aphantopus hyperantus	10072	0	0	Papillons	Satyridae
Argynnis paphia	Argynnis paphia	Argynnis paphia	10098	0	0	Papillons	Nymphalidae
Thecla betulae	Thecla betulae	Thecla betulae	10157	0	0	Papillons	Lycaenidae
Argynnis aglaja	Argynnis aglaja	Argynnis aglaja	10096	1	0	Papillons	Nymphalidae
Limenitis camilla	Limenitis camilla	Limenitis camilla	10110	0	0	Papillons	Nymphalidae
Colias croceus	Colias croceus	Colias croceus	10084	0	0	Papillons	Pieridae
Aglais urticae	Aglais urticae	Aglais urticae	10106	0	0	Papillons	Nymphalidae
Colias hyale	Colias hyale	Colias hyale	10085	0	0	Papillons	Pieridae
Inachis io	Inachis io	Inachis io	10107	0	0	Papillons	Nymphalidae
Issoria lathonia	Issoria lathonia	Issoria lathonia	10091	1	0	Papillons	Nymphalidae
Polyommatus coridon	Polyommatus coridon	Polyommatus coridon	10146	1	0	Papillons	Lycaenidae
Erebia aethiops	Erebia aethiops	Erebia aethiops	10061	1	0	Papillons	Satyridae
Colias alfacariensis	Colias alfacariensis	Colias alfacariensis	10083	1	0	Papillons	Pieridae
Araschnia levana	Araschnia levana	Araschnia levana	10094	0	0	Papillons	Nymphalidae
Melanargia galathea	Melanargia galathea	Melanargia galathea	10055	0	0	Papillons	Satyridae
Pyronia tithonus	Pyronia tithonus	Pyronia tithonus	10053	0	0	Papillons	Satyridae
Thymelicus acteon	Thymelicus acteon	Thymelicus acteon	10159	1	0	Papillons	Hesperiidae
Lasiommata maera	Lasiommata maera	Lasiommata maera	10057	1	0	Papillons	Satyridae
Thymelicus lineolus	Thymelicus lineolus	Thymelicus lineolus	10160	0	0	Papillons	Hesperiidae
Thymelicus sylvestris	Thymelicus sylvestris	Thymelicus sylvestris	10161	0	0	Papillons	Hesperiidae
Lycaena hippothoe	Lycaena hippothoe	Lycaena hippothoe	10136	1	0	Papillons	Lycaenidae
Araschnia levana prorsa	Araschnia levana	Araschnia levana	10094	0	0	Papillons	Nymphalidae
Lycaena helle	Lycaena helle	Lycaena helle	10135	1	0	Papillons	Lycaenidae
Boloria aquilonaris	Boloria aquilonaris	Boloria aquilonaris	10099	1	0	Papillons	Nymphalidae
Callophrys rubi	Callophrys rubi	Callophrys rubi	10126	0	0	Papillons	Lycaenidae
Lycaena tityrus	Lycaena tityrus	Lycaena tityrus	10138	0	0	Papillons	Lycaenidae
Boloria eunomia	Boloria eunomia	Boloria eunomia	10101	1	0	Papillons	Nymphalidae
Melitaea athalia	Melitaea athalia	Melitaea athalia	10114	1	0	Papillons	Nymphalidae
Nymphalis polychloros	Nymphalis polychloros	Nymphalis polychloros	10121	0	0	Papillons	Nymphalidae
Apatura ilia	Apatura ilia	Apatura ilia	10092	0	0	Papillons	Nymphalidae
Erynnis tages	Erynnis tages	Erynnis tages	10171	0	0	Papillons	Hesperiidae
Boloria euphrosyne	Boloria euphrosyne	Boloria euphrosyne	10102	1	0	Papillons	Nymphalidae
Spialia sertorius	Spialia sertorius	Spialia sertorius	10162	0	0	Papillons	Hesperiidae
Iphiclides podalirius	Iphiclides podalirius	Iphiclides podalirius	10090	1	0	Papillons	Papilionidae
Boloria dia	Boloria dia	Boloria dia	10100	1	0	Papillons	Nymphalidae
Cupido minimus	Cupido minimus	Cupido minimus	10129	0	0	Papillons	Lycaenidae
Lycaena dispar	Lycaena dispar	Lycaena dispar	10134	1	0	Papillons	Lycaenidae
Argynnis adippe	Argynnis adippe	Argynnis adippe	10095	1	0	Papillons	Nymphalidae
Carcharodus alceae	Carcharodus alceae	Carcharodus alceae	10173	0	0	Papillons	Hesperiidae
Hesperiinae sp.	Hesperiinae 			0	0	Papillons	
Pieris sp.	Pieris 	Pieris sp.	2838	0	0	Papillons	Pieridae
Thymelicus sp.	Thymelicus 	Thymelicus sp.	2884	0	0	Papillons	Hesperiidae
Hamearis lucina	Hamearis lucina	Hamearis lucina	10073	1	0	Papillons	Rhopalocera
Lycaena virgaureae	Lycaena virgaureae	Lycaena virgaureae	10139	1	0	Papillons	Lycaenidae
Apatura iris	Apatura iris	Apatura iris	10093	0	0	Papillons	Nymphalidae
Lasiocampa quercus	Lasiocampa quercus	Lasiocampa quercus	7897	0	0	Hétérocères	Lasiocampidae
Macroglossum stellatarum	Macroglossum stellatarum	Macroglossum stellatarum	8379	0	0	Hétérocères	Sphingidae
Atolmis rubicollis 	Atolmis rubicollis 	Atolmis rubicollis 		0	0	Hétérocères	
Diacrisia sannia	Diacrisia sannia	Diacrisia sannia		0	0	Hétérocères	
Paracemia phegea	Paracemia phegea	Paracemia phegea		0	0	Hétérocères	
Aglia tau	Aglia tau	Aglia tau	8343	0	0	Hétérocères	Saturniidae
Neozephyrus quercus	Neozephyrus quercus	Neozephyrus quercus	10144	0	0	Papillons	Lycaenidae
Hesperia comma	Hesperia comma	Hesperia comma	10170	1	0	Papillons	Hesperiidae
Leptidea sp.	Leptidea 	Leptidea sp.	2837	0	0	Papillons	Pieridae
Noctua pronuba	Noctua pronuba	Noctua pronuba	8199	0	0	Hétérocères	Noctuidae
Scrobipalpa proclivella	Scrobipalpa proclivella	Scrobipalpa proclivella	103063	0	0	Hétérocères	
Plebeius argus	Plebeius argus	Plebeius argus	10141	1	0	Papillons	Lycaenidae
Satyrium ilicis	Satyrium ilicis	Satyrium ilicis	10153	1	0	Papillons	Lycaenidae
Polyommatus semiargus	Polyommatus semiargus	Polyommatus semiargus	10149	0	0	Papillons	Lycaenidae
Coenonympha hero	Coenonympha hero	Coenonympha hero	10066	1	0	Papillons	Satyridae
Proserpinus proserpina	Proserpinus proserpina	Proserpinus proserpina	8381	1	0	Hétérocères	Sphingidae
Pyrausta aurata	Pyrausta aurata	Pyrausta aurata	102861	0	0	Hétérocères	
Coleophora pennella	Coleophora pennella	Coleophora pennella	100212	0	0	Hétérocères	Coleophoridae
Melitaea cinxia	Melitaea cinxia	Melitaea cinxia	10116	1	0	Papillons	Nymphalidae
Glaucopsyche alexis	Glaucopsyche alexis	Glaucopsyche alexis	10131	1	0	Papillons	Lycaenidae
Polyommatus bellargus	Polyommatus bellargus	Polyommatus bellargus	10145	1	0	Papillons	Lycaenidae
Scoliopteryx libatrix	Scoliopteryx libatrix	Scoliopteryx libatrix	8258	0	0	Hétérocères	Noctuidae
Triphosa dubitata	Triphosa dubitata	Triphosa dubitata	7876	0	0	Hétérocères	Geometridae
Clossiana sp.	Boloria 	Boloria sp.	2846	0	0	Papillons	Nymphalidae
Phyllonorycter leucographella	Phyllonorycter leucographella	Phyllonorycter leucographella	102508	0	0	Hétérocères	Gracillariidae
Taleporia tubulosa	Taleporia tubulosa	Taleporia tubulosa	103411	0	0	Hétérocères	
Stigmella aceris	Stigmella aceris	Stigmella aceris	103269	0	0	Hétérocères	Nepticulidae
Leucoptera malifoliella	Leucoptera malifoliella	Leucoptera malifoliella	101499	0	0	Hétérocères	
Callisto denticulella	Callisto denticulella	Callisto denticulella	99812	0	0	Hétérocères	
Stigmella malella	Stigmella malella	Stigmella malella	103294	0	0	Hétérocères	Nepticulidae
Bucculatrix frangutella	Bucculatrix frangutella	Bucculatrix frangutella	99774	0	0	Hétérocères	
Stigmella catharticella	Stigmella catharticella	Stigmella catharticella	103280	0	0	Hétérocères	Nepticulidae
Melitaea aurelia	Melitaea aurelia	Melitaea aurelia	10115	1	0	Papillons	Nymphalidae
Colias sp.	Colias 	Colias sp.	2834	0	0	Papillons	Pieridae
Glaucopsyche arion	Glaucopsyche arion	Glaucopsyche arion	10132	1	0	Papillons	Lycaenidae
Nymphalis antiopa	Nymphalis antiopa	Nymphalis antiopa	10120	1	0	Papillons	Nymphalidae
Arethusana arethusa	Arethusana arethusa	Arethusana arethusa	10071	0	0	Papillons	Satyridae
Eupithecia centaureata	Eupithecia centaureata	Eupithecia centaureata	7668	0	0	Hétérocères	Geometridae
