id	gr1	tax	taxprio	gr2	prioritaire
1	Dicotylédones	Acer negundo	Acer negundo	Aceraceae	0
2	Dicotylédones	Acer rufinerve	Acer rufinerve	Sapindaceae	0
3	Dicotylédones	Ailanthus altissima	Ailanthus altissima	Simaroubaceae	0
4	Oiseaux	Aix galericulata	Aix galericulata	Anatidae	0
5	Oiseaux	Alopochen aegyptiaca	Alopochen aegyptiacus	Anatidae	0
6	Dicotylédones	Ambrosia artemisiifolia	Ambrosia artemisiifolia	Asteraceae	0
7	Poissons	Ameiurus melas	Ameiurus melas	Ictaluridae	0
8	Dicotylédones	Amelanchier lamarckii	Amelanchier lamarckii	Malaceae	0
9	Oiseaux	Anser indicus	Anser indicus	Anatidae	0
10	Crustacés	Astacus leptodactylus	Astacus leptodactylus	Astacidae	0
11	Dicotylédones	Aster lanceolatus	Aster lanceolatus	Asteraceae	0
12	Dicotylédones	Aster novi-belgii	Aster novi-belgii	Asteraceae	0
13	Dicotylédones	Aster sp.	Aster sp.	Asteraceae	0
14	Dicotylédones	Aster x salignus (A. lanceolatus x novi-belgii)	Aster x salignus (A. lanceolatus x novi-belgii)	Asteraceae	0
15	Ptéridophytes	Azolla filiculoides	Azolla filiculoides	Azollaceae	0
16	Dicotylédones	Baccharis halimifolia	Baccharis halimifolia	Polygonaceae	1
17	Monocotylédones	bambous	Bambuseae sp.	Poaceae	0
18	Dicotylédones	Berberis aquifolium	Berberis aquifolium	Berberidaceae	0
19	Dicotylédones	Mahonia aquifolium	Berberis aquifolium	Berberidaceae	0
20	Dicotylédones	Bidens frondosa	Bidens frondosa	Asteraceae	0
21	Oiseaux	Branta canadensis	Branta canadensis	Anatidae	0
22	Dicotylédones	Buddleja davidii	Buddleja davidii	Buddlejaceae	0
23	Poissons	Carassius gibelio	Carassius gibelio	Cyprinidae	0
24	Dicotylédones	Cornus sericea	Cornus sericea	Cornaceae	0
25	Dicotylédones	Cotoneaster ascendens	Cotoneaster ascendens	Malaceae	0
26	Dicotylédones	Cotoneaster bullatus	Cotoneaster bullatus	Malaceae	0
27	Dicotylédones	Cotoneaster conspicuus	Cotoneaster conspicuus	Malaceae	0
28	Dicotylédones	Cotoneaster dammeri	Cotoneaster dammeri	Malaceae	0
29	Dicotylédones	Cotoneaster dielsianus	Cotoneaster dielsianus	Malaceae	0
30	Dicotylédones	Cotoneaster divaricatus	Cotoneaster divaricatus	Malaceae	0
31	Dicotylédones	Cotoneaster fangianus	Cotoneaster fangianus	Malaceae	0
32	Dicotylédones	Cotoneaster franchetii	Cotoneaster franchetii	Malaceae	0
33	Dicotylédones	Cotoneaster hjelmqvistii	Cotoneaster hjelmqvistii	Malaceae	0
34	Dicotylédones	Cotoneaster horizontalis	Cotoneaster horizontalis	Malaceae	0
35	Dicotylédones	Cotoneaster integerrimus	Cotoneaster integerrimus	Malaceae	0
36	Dicotylédones	Cotoneaster lacteus	Cotoneaster lacteus	Malaceae	0
37	Dicotylédones	Cotoneaster rehderi	Cotoneaster rehderi	Malaceae	0
38	Dicotylédones	Cotoneaster salicifolius	Cotoneaster salicifolius	Malaceae	0
39	Dicotylédones	Cotoneaster simonsii	Cotoneaster simonsii	Malaceae	0
40	Dicotylédones	Cotoneaster spec.	Cotoneaster sp.	Malaceae	0
41	Dicotylédones	Cotoneaster sternianus	Cotoneaster sternianus	Malaceae	0
42	Dicotylédones	Cotoneaster x suecicus (C. conspicuus x dammeri)	Cotoneaster x suecicus (C. conspicuus x dammeri)	Malaceae	0
43	Dicotylédones	Cotoneaster x watereri (C. frigidus x salicifolius	Cotoneaster x watereri (C. frigidus x salicifolius	Malaceae	0
44	Dicotylédones	Crassula helmsii	Crassula helmsii	Crassulaceae	0
45	Oiseaux	Cygnus atratus	Cygnus atratus	Anatidae	0
46	Monocotylédones	Cyperus eragrostis	Cyperus eragrostis	Cyperaceae	0
47	Mammifères	Dama dama	Dama dama	Cervidae	0
48	Mollusques bivalves	Dreissena polymorpha	Dreissena polymorpha	Dreissenidae	0
49	Mollusques bivalves	Dreissena rostriformis bugensis	Dreissena rostriformis bugensis	Dreissenidae	0
50	Dicotylédones	Duchesnea indica	Duchesnea indica	Rosaceae	0
51	Monocotylédones	Eichhornia crassipes	Eichhornia crassipes	Pontederiaceae	1
52	Dicotylédones	Elaeagnus angustifolia	Elaeagnus angustifolia	Elaeagnaceae	0
53	Monocotylédones	Elodea canadensis	Elodea canadensis	Hydrocharitaceae	0
54	Monocotylédones	Elodea nuttallii	Elodea nuttallii	Hydrocharitaceae	0
55	Monocotylédones	Elodea spp	Elodea sp.	Hydrocharitaceae	0
56	Dicotylédones	Epilobium ciliatum	Epilobium ciliatum	Onagraceae	0
57	Crustacés	Eriocheir sinensis	Eriocheir sinensis	Varunidae	1
58	Dicotylédones	Fallopia japonica	Fallopia japonica	Polygonaceae	0
59	Dicotylédones	Fallopia sachalinensis	Fallopia sachalinensis	Polygonaceae	0
60	Dicotylédones	Fallopia sp.	Fallopia sp.	Polygonaceae	0
61	Dicotylédones	Fallopia x bohemica	Fallopia x bohemica	Polygonaceae	0
62	Dicotylédones	Gunnera tinctoria	Gunnera tinctoria	Gunneraceae	0
63	Coccinelles	Harmonia axyridis	Harmonia axyridis	Coccinellinae	0
64	Dicotylédones	Helianthus tuberosus	Helianthus tuberosus	Asteraceae	0
65	Crustacés	Hemigrapsus sanguineus	Hemigrapsus sanguineus	Varunidae	0
66	Dicotylédones	Heracleum mantegazzianum	Heracleum mantegazzianum	Apiaceae	0
67	Monocotylédones	Hyacinthoides hispanica	Hyacinthoides hispanica	Liliaceae	0
68	Dicotylédones	Hydrocotyle ranunculoides	Hydrocotyle ranunculoides	Apiaceae	1
69	Mammifères	Hydropotes inermis	Hydropotes inermis	Cervidae	0
70	Dicotylédones	Impatiens balfourii	Impatiens balfouri	Balsaminaceae	0
71	Dicotylédones	Impatiens capensis	Impatiens capensis	Balsaminaceae	0
72	Dicotylédones	Impatiens glandulifera	Impatiens glandulifera	Balsaminaceae	0
73	Dicotylédones	Impatiens parviflora	Impatiens parviflora	Balsaminaceae	0
74	Monocotylédones	Lagarosiphon major	Lagarosiphon major	Hydrocharitaceae	1
